FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS, LATITUDE,LONGITUDE,OWNER_CODE, OWNER_DESCR, STATE,COUNTY,FIPS_CODE, FIPS_NAME, Shape,DISCOVERY_DATE,CONT_DATE
2017,5738.00,G,,,,,,,,Fresno,,4/20/2017,4/21/2017
2017,1350.00,F,,,,,,,,Riverside,,4/30/2017,5/2/2017
2017,10345.00,G,,,,,,,,Fresno,,5/18/2017,5/21/2017
2017,2056.00,F,,,,,,,,San Diego,,5/20/2017,5/23/2017
2017,1431.00,F,,,,,,,,Madera,,6/10/2017,6/13/2017
2017,1522.00,F,,,,,,,,Kern,,6/18/2017,6/28/2017
2017,1503.00,F,,,,,,,,San Bernardino,,6/19/2017,6/29/2017
2017,16031.00,G,,,,,,,,Tulare,,6/24/2017,8/10/2017
2017,65888.00,G,,,,,,,,Siskiyou,,6/25/2017,12/8/2017
2017,6309.00,G,,,,,,,,Riverside,,6/26/2017,6/30/2017
2017,1598.00,F,,,,,,,,San Luis Obispo,,6/26/2017,6/30/2017
2017,2269.00,F,,,,,,,,Yolo,,7/6/2017,7/12/2017
2017,28687.00,G,,,,,,,,San Luis Obispo,,7/6/2017,7/19/2017
2017,6033.00,G,,,,,,,,Butte,,7/7/2017,7/17/2017
2017,18430.00,G,,,,,,,,Santa Barbara,,7/8/2017,10/5/2017
2017,1816.00,F,,,,,,,,Monterey,,7/8/2017,7/11/2017
2017,48889.00,G,,,,,,,,Fresno,,7/9/2017,7/21/2017
2017,83733.00,G,,,,,,,,Lassen,,7/11/2017,7/21/2017
2017,81826.00,G,,,,,,,,Mariposa,,7/16/2017,8/24/2017
2017,83120.00,G,,,,,,,,Modoc,,7/24/2017,8/16/2017
2017,27276.00,G,,,,,,,,Siskiyou,,7/25/2017,9/26/2017
2017,6370.00,G,,,,,,,,Mariposa,,8/1/2017,11/27/2017
2017,7697.00,G,,,,,,,,Modoc,,8/3/2017,8/29/2017
2017,2500.00,F,,,,,,,,Siskiyou,,8/7/2017,8/28/2017
2017,7000.00,G,,,,,,,,Mariposa,,8/13/2017,11/27/2017
2017,1044.00,F,,,,,,,,Riverside,,8/13/2017,8/16/2017
2017,78698.00,G,,,,,,,,Siskiyou,,8/15/2017,11/29/2017
2017,36556.00,G,,,,,,,,Tulare,,8/29/2017,11/29/2017
2017,12407.00,G,,,,,,,,Madera,,8/29/2017,10/24/2017
2017,4016.00,G,,,,,,,,Butte,,8/29/2017,9/9/2017
2017,6042.00,G,,,,,,,,Lassen,,8/29/2017,9/1/2017
2017,8925.00,G,,,,,,,,Mono,,8/29/2017,9/12/2017
2017,21846.00,G,,,,,,,,Trinity,,8/30/2017,11/15/2017
2017,7194.00,G,,,,,,,,Los Angeles,,9/1/2017,9/9/2017
2017,3874.00,F,,,,,,,,Riverside,,9/2/2017,9/6/2017
2017,1035.00,F,,,,,,,,Madera,,9/3/2017,9/13/2017
2017,13417.00,G,,,,,,,,Trinity,,9/12/2017,11/20/2017
2017,18900.00,G,,,,,,,,Tulare,,9/24/2017,12/2/2017
2017,2662.00,F,,,,,,,,Riverside,,9/25/2017,10/4/2017
2017,8417.00,G,,,,,,,,Butte,,10/8/2017,10/16/2017
2017,51624.00,G,,,,,,,,Napa/Solano,,10/8/2017,10/31/2017
2017,36807.00,G,,,,,,,,Napa/Sonoma,,10/8/2017,10/31/2017
2017,56556.00,G,,,,,,,,Sonoma,,10/8/2017,10/30/2017
2017,36523.00,G,,,,,,,,Mendocino,,10/8/2017,10/28/2017
2017,6151.00,G,,,,,,,,Butte,,10/9/2017,10/18/2017
2017,9989.00,G,,,,,,,,Yuba,,10/9/2017,10/18/2017
2017,2207.00,F,,,,,,,,Lake,,10/9/2017,10/26/2017
2017,9217.00,G,,,,,,,,Orange,,10/9/2017,10/18/2017
2017,1660.00,F,,,,,,,,Sonoma,,10/9/2017,10/13/2017
2017,17357.00,G,,,,,,,,Sonoma,,10/9/2017,10/31/2017
2017,821.00,E,,,,,,,,Nevada,,10/9/2017,10/18/2017
2017,391.00,E,,,,,,,,Santa Cruz,,10/16/2017,10/27/2017
2017,1088.00,F,,,,,,,,San Diego,,10/17/2017,11/14/2017
2017,866.00,E,,,,,,,,Riverside,,10/27/2017,10/29/2017
2017,281893.00,G,,,,,,,,Ventura/Santa Barbara,,12/4/2017,1/12/2018
2017,15619.00,G,,,,,,,,Los Angeles,,12/5/2017,1/9/2018
2017,6049.00,G,,,,,,,,Los Angeles,,12/5/2017,12/12/2017
2017,260.00,E,,,,,,,,San Bernardino,,12/5/2017,12/7/2017
2017,422.00,E,,,,,,,,Los Angeles,,12/6/2017,12/15/2017
2017,4100.00,G,,,,,,,,San Diego,,12/7/2017,12/16/2017
2017,300.00,E,,,,,,,,Riverside,,12/7/2017,12/9/2017
2017,0.00,A,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2017,0.00,B,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2017,0.00,C,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2017,0.00,D,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2017,0.00,E,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
2017,0.00,F,,,,,,,,Santa Clara,,9/26/2016,10/12/2016
