FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS, LATITUDE,LONGITUDE,OWNER_CODE, OWNER_DESCR, STATE,COUNTY,FIPS_CODE, FIPS_NAME, Shape,DISCOVERY_DATE,CONT_DATE,Burn_Days
2018,1314,F,,,,,,,,San Benito,,6/4/2018,6/14/2018,10
2018,4653,G,,,,,,,,Tulare,,10/4/2018,12/7/2018,64
2018,2956,F,,,,,,,,Tehama,,6/9/2018,6/14/2018,5
2018,6974,G,,,,,,,,Mono,,9/4/2018,9/15/2018,11
2018,4700,F,,,,,,,,Solano,,10/7/2018,11/9/2018,33
2018,1200,F,,,,,,,,Sutter,,7/31/2018,8/3/2018,3
2018,153336,G,,,,,,,,Butte,,11/8/2018,11/25/2018,17
2018,229651,G,,,,,,,,Shasta,,7/23/2018,8/30/2018,38
2018,3380,F,,,,,,,,Los Angeles,,9/22/2018,10/1/2018,9
2018,2290,F,,,,,,,,Glenn,,6/9/2018,6/21/2018,12
2018,90288,G,,,,,,,,Napa,,6/30/2018,7/14/2018,14
2018,13139,G,,,,,,,,Riverside,,7/26/2018,8/10/2018,15
2018,1678,F,,,,,,,,Madera,,6/24/2018,7/5/2018,11
2018,63311,G,,,,,,,,Shasta,,9/5/2018,10/7/2018,32
2018,36450,G,,,,,,,,Tuolumne,,8/1/2018,10/1/2018,61
2018,2100,F,,,,,,,,Modoc,,7/13/2018,7/17/2018,4
2018,1777,F,,,,,,,,Tulare,,10/4/2018,12/7/2018,64
2018,96901,G,,,,,,,,Mariposa,,7/13/2018,8/18/2018,36
2018,2995,F,,,,,,,,Kings,,8/6/2018,8/8/2018,2
2018,1014,F,,,,,,,,San Luis Obispo,,8/19/2018,8/29/2018,10
2018,2883,F,,,,,,,,Inyo,,7/8/2018,7/18/2018,10
2018,1900,F,,,,,,,,Shasta,,8/9/2018,8/16/2018,7
2018,4531,G,,,,,,,,Ventura,,11/8/2018,11/15/2018,7
2018,46150,G,,,,,,,,Shasta,,8/9/2018,9/12/2018,34
2018,113,E,,,,,,,,Santa Barbara,,7/6/2018,7/11/2018,5
2018,23136,G,,,,,,,,Orange,,8/6/2018,9/13/2018,38
2018,1751,F,,,,,,,,Trinity,,9/4/2018,9/17/2018,13
2018,38008,G,,,,,,,,Siskiyou,,7/5/2018,7/16/2018,11
2018,3716,F,,,,,,,,Tehama,,6/23/2018,7/4/2018,11
2018,13347,G,,,,,,,,Madera,,6/11/2018,10/1/2018,112
2018,459123,G,,,,,,,,Mendocino,,7/27/2018,9/18/2018,53
2018,3674,F,,,,,,,,Humboldt,,8/16/2018,8/30/2018,14
2018,1265,F,,,,,,,,Inyo,,4/19/2018,5/21/2018,32
2018,1270,F,,,,,,,,Tulare,,10/13/2018,12/7/2018,55
2018,38134,G,,,,,,,,Del Norte,,7/15/2018,10/30/2018,107
2018,1756,F,,,,,,,,Merced,,5/2/2018,5/17/2018,15
2018,2162,F,,,,,,,,Solano,,8/10/2018,8/12/2018,2
2018,1120,F,,,,,,,,Placer,,9/3/2018,9/16/2018,13
2018,1500,F,,,,,,,,Solano,,11/8/2018,11/27/2018,19
2018,64,D,,,,,,,,San Benito,,6/4/2018,6/7/2018,3
2018,1261,G,,,,,,,,Riverside,,5/17/2018,5/21/2018,4
2018,15185,G,,,,,,,,Lake,,6/23/2018,7/8/2018,15
2018,1000,F,,,,,,,,San Diego,,8/5/2018,8/6/2018,1
2018,1800,F,,,,,,,,San Diego,,7/6/2018,7/11/2018,5
2018,4564,F,,,,,,,,Merced,,6/15/2018,6/21/2018,6
2018,2070,F,,,,,,,,Inyo,,2/18/2018,4/3/2018,44
2018,2490,F,,,,,,,,Napa,,9/8/2018,9/15/2018,7
2018,1352,F,,,,,,,,Los Angeles,,6/4/2018,6/13/2018,9
2018,39387,G,,,,,,,,Modoc,,8/15/2018,8/29/2018,14
2018,3889,F,,,,,,,,Tehama,,10/7/2018,10/12/2018,5
2018,2950,F,,,,,,,,Kern,,8/3/2018,8/6/2018,3
2018,2225,F,,,,,,,,Monterey,,8/6/2018,8/6/2018,0
2018,1350,F,,,,,,,,San Bernardino,,7/6/2018,10/22/2018,108
2018,12300,G,,,,,,,,San Joaquin,,6/29/2018,7/2/2018,3
2018,504,E,,,,,,,,San Diego,,7/6/2018,7/11/2018,5
2018,18703,G,,,,,,,,Lassen,,7/27/2018,8/7/2018,11
2018,96949,G,,,,,,,,Los Angeles,,11/8/2018,11/22/2018,14
2018,1500,F,,,,,,,,San Luis Obispo,,6/20/2018,7/1/2018,11
